function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,power_usage_function_shasum,replica_shasum,overloaded_function_shasum,medium_latency_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,power_usage_function_env,replica_env,overloaded_function_env,medium_latency_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,power_usage_function_curl,replica_curl,overloaded_function_curl,medium_latency_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,ram_usage_idle_node_percentage,ram_usage_node_percentage,power_usage_idle_node,power_usage_node,rest_seconds,overloaded_node
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,62.533,62.533,4973926400.000,4973926400.000,27.959,27.959,nan,nan,10,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,66.933,66.933,4853112832.000,4853112832.000,27.479,27.479,nan,nan,10,0
shasum,0,1.000,0.000,0.000,nan,1,0,0,env,0,1.000,0.000,0.000,nan,1,0,0,curl,0,1.000,0.000,0.000,nan,1,0,0,66.933,65.333,4853112832.000,4816300032.000,27.479,27.334,nan,nan,10,0
shasum,0,1.000,0.096,4257006.933,nan,1,0,0,env,0,1.000,0.099,4317047.467,nan,1,0,0,curl,20,1.000,18.143,10146304.000,nan,1,0,384501343,65.333,107.233,4816300032.000,4799995904.000,27.334,27.270,nan,nan,10,0
shasum,0,1.000,0.089,4428288.000,nan,1,0,0,env,0,1.000,0.095,4535296.000,nan,1,0,0,curl,20,1.000,23.136,3502165.333,nan,2,0,379924577,62.333,100.083,4731406336.000,4748356096.000,27.000,27.068,nan,nan,20,0
shasum,0,1.000,0.098,4618240.000,nan,1,0,0,env,0,1.000,0.095,4749824.000,nan,1,0,0,curl,20,1.000,19.720,4920285.867,nan,1,0,388133592,60.600,96.550,4801132544.000,4811223552.000,27.263,27.295,nan,nan,30,0
shasum,0,1.000,0.089,4849868.800,nan,1,0,0,env,0,1.000,0.090,4965205.333,nan,1,0,0,curl,40,1.000,30.053,5312512.000,nan,2,0,380713927,62.467,128.667,4819935232.000,4839122432.000,27.322,27.399,nan,nan,25,0
shasum,0,1.000,0.088,5111466.667,nan,1,0,0,env,0,1.000,0.091,5158058.667,nan,1,0,0,curl,40,1.000,35.596,10233941.333,nan,2,0,385448044,64.800,125.250,4876124160.000,4881170432.000,27.550,27.570,nan,nan,30,0
shasum,0,1.000,0.084,5313365.333,nan,1,0,0,env,0,1.000,0.089,5363370.667,nan,1,0,0,curl,40,1.000,33.049,3954517.333,nan,1,0,385057406,64.667,121.333,4878125056.000,4872527872.000,27.559,27.536,nan,nan,30,0
shasum,0,1.000,0.086,5500074.667,nan,1,0,0,env,0,1.000,0.093,5544667.429,nan,1,0,0,curl,60,1.000,44.715,3598574.933,nan,2,0,381522066,63.733,143.983,4753737728.000,4772434432.000,27.061,27.135,nan,nan,25,0
shasum,0,1.000,0.086,5698218.667,nan,1,0,0,env,0,1.000,0.087,5763584.000,nan,1,0,0,curl,60,1.000,46.581,12853248.000,nan,2,0,382139675,60.733,138.350,4789264384.000,4800656384.000,27.204,27.249,nan,nan,30,0
shasum,0,1.000,0.078,5889024.000,nan,1,0,0,env,0,1.000,0.095,5969749.333,nan,1,0,0,curl,60,1.000,43.864,12711594.667,nan,1,0,378711761,63.267,133.583,4820273152.000,4832741376.000,27.329,27.378,nan,nan,30,0
shasum,0,1.000,0.074,6070101.333,nan,1,0,0,env,0,1.000,0.075,6148100.876,nan,1,0,0,curl,80,1.000,56.039,3718275.657,nan,2,0,378317680,61.800,156.250,4820504576.000,4839356416.000,27.328,27.403,nan,nan,25,0
shasum,0,1.000,0.081,6252885.333,nan,1,0,0,env,0,1.000,0.084,6361088.000,nan,1,0,0,curl,80,1.000,56.097,3629977.600,nan,2,0,379784430,62.400,154.950,4831950848.000,4848599552.000,27.376,27.442,nan,nan,30,0
shasum,0,1.000,0.077,6417920.000,nan,1,0,0,env,0,1.000,0.090,6532096.000,nan,1,0,0,curl,80,1.000,51.089,9102267.733,nan,1,0,376601205,62.533,142.950,4834803712.000,4841889280.000,27.389,27.416,nan,nan,30,0
shasum,0,1.000,0.083,6739012.267,nan,1,0,0,env,0,1.000,0.082,6834176.000,nan,1,0,0,curl,100,1.000,63.024,16738304.000,nan,2,0,374191173,67.133,168.177,4819042304.000,4846902272.000,27.326,27.437,nan,nan,25,0
shasum,0,1.000,0.079,7293610.667,nan,1,0,0,env,0,1.000,0.086,7415637.333,nan,1,0,0,curl,100,1.000,62.686,13736021.333,nan,2,0,380074318,62.133,161.833,4859748352.000,4872521728.000,27.489,27.540,nan,nan,30,0
shasum,0,1.000,0.084,7139157.333,nan,1,0,0,env,0,1.000,0.094,7380821.333,nan,1,0,0,curl,100,1.000,56.426,12059409.067,nan,1,0,380129799,62.400,152.183,4842356736.000,4855689728.000,27.422,27.474,nan,nan,30,0
shasum,0,1.000,0.075,5756416.000,nan,1,0,0,env,0,1.000,0.082,5733034.667,nan,1,0,0,curl,120,1.000,74.020,3153920.000,nan,2,0,378713110,65.133,180.867,4825581568.000,4811770368.000,27.352,27.297,nan,nan,25,0
shasum,0,1.000,0.074,5817685.333,nan,1,0,0,env,0,1.000,0.082,5782357.333,nan,1,0,0,curl,120,1.000,69.182,3608166.400,nan,2,0,379800097,61.467,169.583,4753076224.000,4781452288.000,27.066,27.179,nan,nan,30,0
shasum,0,1.000,0.079,5866154.667,nan,1,0,0,env,0,1.000,0.077,5759658.667,nan,1,0,0,curl,120,1.000,65.013,3514368.000,nan,2,0,378281145,61.533,181.833,4803676160.000,4825098752.000,27.270,27.354,nan,nan,25,0
shasum,0,1.000,0.088,5861888.000,nan,1,0,0,env,0,1.000,0.076,5786453.333,nan,1,0,0,curl,140,1.000,82.952,4005307.733,nan,2,0,379961609,60.333,189.017,4796418048.000,4824693760.000,27.241,27.353,nan,nan,30,0
shasum,0,1.000,0.077,5841749.333,nan,1,0,0,env,0,1.000,0.072,5788672.000,nan,1,0,0,curl,140,1.000,75.190,11412480.000,nan,1,0,378877002,62.733,179.633,4822290432.000,4844837376.000,27.345,27.434,nan,nan,30,0
shasum,0,1.000,0.080,5903803.733,nan,1,0,0,env,0,1.000,0.079,5832723.505,nan,1,0,0,curl,140,1.000,85.483,3641344.000,nan,2,0,378864543,63.933,197.317,4817700864.000,4841936896.000,27.324,27.421,nan,nan,25,0
shasum,0,1.000,0.077,5853525.333,nan,1,0,0,env,0,1.000,0.080,5844992.000,nan,1,0,0,curl,160,1.000,92.826,4015684.267,nan,2,0,382175790,60.933,205.683,4816533504.000,4838841344.000,27.322,27.410,nan,nan,30,0
shasum,0,1.000,0.086,5950805.333,nan,1,0,0,env,0,1.000,0.083,5885781.333,nan,1,0,0,curl,160,1.000,83.572,56394069.333,nan,1,0,379843903,62.000,191.550,4801019904.000,4828821504.000,27.261,27.371,nan,nan,30,0
shasum,0,1.000,0.070,6033700.571,nan,1,0,0,env,0,1.000,0.077,5899727.238,nan,1,0,0,curl,160,1.000,92.171,2109440.000,nan,2,0,381283764,63.400,210.033,4770004992.000,4796004864.000,27.137,27.240,nan,nan,25,0
shasum,0,1.000,0.092,6114304.000,nan,1,0,0,env,0,1.000,0.081,5952341.333,nan,1,0,0,curl,180,1.000,100.489,3039232.000,nan,2,0,386012503,60.867,214.517,4775143424.000,4806330368.000,27.160,27.283,nan,nan,30,0
shasum,0,1.000,0.072,6029312.000,nan,1,0,0,env,0,1.000,0.075,5963776.000,nan,1,0,0,curl,180,1.000,91.415,14179913.143,nan,1,0,382988476,60.600,202.067,4741644288.000,4772935168.000,27.028,27.151,nan,nan,30,0
shasum,0,1.000,0.078,6027946.667,nan,1,0,0,env,0,1.000,0.077,5962581.333,nan,1,0,0,curl,180,1.000,103.115,3350528.000,nan,2,0,389399320,64.867,221.450,4753743872.000,4788177408.000,27.076,27.212,nan,nan,25,0
shasum,0,1.000,0.076,5914624.000,nan,1,0,0,env,0,1.000,0.074,5840896.000,nan,1,0,0,curl,200,1.000,105.896,2625536.000,nan,2,0,389877779,60.933,224.750,4776716288.000,4824807424.000,27.169,27.360,nan,nan,30,0
shasum,0,1.000,0.082,5983368.533,nan,1,0,0,env,0,1.000,0.089,5898922.667,nan,1,0,0,curl,200,1.000,100.012,15522269.867,nan,1,0,389919721,62.133,218.117,4841707520.000,4875770368.000,27.428,27.563,nan,nan,30,0
shasum,0,1.000,0.069,6031360.000,nan,1,0,0,env,0,1.000,0.074,6115669.333,nan,1,0,0,curl,200,1.000,117.449,3313664.000,nan,2,0,390555873,64.867,239.483,4829718528.000,4867774464.000,27.379,27.531,nan,nan,25,0
shasum,0,1.000,0.105,6045013.333,nan,1,0,0,env,20,1.000,4.103,8093354.667,nan,1,0,7439501,curl,0,1.000,0.162,4188330.667,nan,1,0,0,61.000,74.550,4840886272.000,4814620672.000,27.427,27.322,nan,nan,30,0
shasum,0,1.000,0.087,6057984.000,nan,1,0,0,env,20,1.000,3.999,10652672.000,nan,1,0,7333997,curl,0,1.000,0.102,30420992.000,nan,1,0,0,60.867,73.500,4794507264.000,4794455552.000,27.241,27.241,nan,nan,30,0
shasum,0,1.000,0.090,6057984.000,nan,1,0,0,env,20,1.000,4.213,10551491.048,nan,2,0,7496980,curl,0,1.000,0.101,28823552.000,nan,1,0,0,61.667,77.750,4780808192.000,4782147072.000,27.188,27.193,nan,nan,25,0
shasum,0,1.000,0.080,6057984.000,nan,1,0,0,env,20,1.000,4.883,10555392.000,nan,4,0,7568339,curl,20,1.000,18.328,3702784.000,nan,2,0,378431202,69.200,108.900,4791506944.000,4801394176.000,27.232,27.273,nan,nan,15,0
shasum,0,1.000,0.084,6061397.333,nan,1,0,0,env,20,1.000,3.419,10739712.000,nan,1,0,6222737,curl,20,1.000,18.739,4096443.733,nan,1,0,384192616,68.600,110.517,4849899520.000,4849208320.000,27.479,27.474,nan,nan,30,0
shasum,0,1.000,0.091,5928345.600,nan,1,0,0,env,20,1.000,4.033,3727616.000,nan,2,0,7315596,curl,20,1.000,19.125,3629641.143,nan,2,0,381675985,60.667,109.967,4841787392.000,4848111104.000,27.436,27.460,nan,nan,40,0
shasum,0,1.000,0.091,5957632.000,nan,1,0,0,env,20,1.000,3.307,3428352.000,nan,2,0,7665047,curl,40,1.000,33.340,3986602.667,nan,2,0,380037531,66.200,131.167,4894650368.000,4901428224.000,27.652,27.677,nan,nan,30,0
shasum,0,1.000,0.088,5884586.667,nan,1,0,0,env,20,1.000,3.287,3716266.667,nan,1,0,6951447,curl,40,1.000,31.430,6472908.800,nan,1,0,382854127,63.600,123.150,4891820032.000,4901844992.000,27.639,27.678,nan,nan,30,0
shasum,0,1.000,0.085,5930325.333,nan,1,0,0,env,20,1.000,3.408,10579968.000,nan,2,0,6365125,curl,40,1.000,31.221,3190784.000,nan,2,0,377153576,69.267,134.300,4893009920.000,4902943232.000,27.643,27.683,nan,nan,25,0
shasum,0,1.000,0.079,5981184.000,nan,1,0,0,env,20,1.000,3.088,3153920.000,nan,2,0,6596816,curl,60,1.000,45.189,3080192.000,nan,2,0,381774963,63.600,146.250,4886667264.000,4901019136.000,27.619,27.675,nan,nan,30,0
shasum,0,1.000,0.091,6017745.676,nan,1,0,0,env,20,1.000,2.877,3605128.533,nan,1,0,7655463,curl,60,1.000,39.878,8088341.943,nan,1,0,386377125,65.067,136.350,4878268416.000,4882193920.000,27.588,27.602,nan,nan,30,0
shasum,0,1.000,0.074,5952853.333,nan,1,0,0,env,20,1.000,2.924,3659400.533,nan,2,0,5807351,curl,60,1.000,46.996,3653666.133,nan,2,0,382399864,65.933,147.133,4881694720.000,4877504000.000,27.601,27.582,nan,nan,40,0
shasum,0,1.000,0.084,5985962.667,nan,1,0,0,env,20,1.000,2.538,10473642.667,nan,1,0,6024559,curl,80,1.000,53.351,3006464.000,nan,2,0,380078707,65.733,154.033,4864380928.000,4876092928.000,27.534,27.580,nan,nan,30,0
shasum,0,1.000,0.073,5886293.333,nan,1,0,0,env,20,1.000,2.716,3728179.200,nan,2,0,5937997,curl,80,1.000,51.810,10002480.762,nan,2,0,381147269,67.733,167.833,4898369536.000,4908864000.000,27.673,27.714,nan,nan,25,0
shasum,0,1.000,0.085,5945856.000,nan,1,0,0,env,20,1.000,2.629,3215360.000,nan,2,0,5645474,curl,80,1.000,54.023,4058009.600,nan,2,0,377376230,68.467,161.533,4898920448.000,4899795968.000,27.678,27.680,nan,nan,30,0
shasum,0,1.000,0.077,6016170.667,nan,1,0,0,env,20,1.000,2.330,3872353.524,nan,1,0,5911152,curl,100,1.000,60.111,5148296.533,nan,1,0,375671562,64.000,162.767,4885706752.000,4894054400.000,27.624,27.656,nan,nan,30,0
shasum,0,1.000,0.083,6009656.076,nan,1,0,0,env,20,1.000,2.424,3129344.000,nan,2,0,6101276,curl,100,1.000,61.487,3952435.200,nan,2,0,377261628,64.200,172.650,4847421440.000,4851638784.000,27.472,27.486,nan,nan,40,0
shasum,0,1.000,0.065,5981866.667,nan,1,0,0,env,20,1.000,2.444,3616085.333,nan,2,0,6785555,curl,100,1.000,62.044,4148599.467,nan,2,0,377008934,65.000,167.617,4857575424.000,4869056512.000,27.512,27.557,nan,nan,30,0
shasum,0,1.000,0.085,6063786.667,nan,1,0,0,env,20,1.000,2.225,10609152.000,nan,1,0,5777574,curl,120,1.000,64.651,3771757.714,nan,1,0,380066028,66.200,170.050,4867280896.000,4879032832.000,27.552,27.598,nan,nan,30,0
shasum,0,1.000,0.077,6124885.333,nan,1,0,0,env,20,1.000,2.462,4039065.600,nan,2,0,6102710,curl,120,1.000,75.030,3497984.000,nan,2,0,378934841,64.333,210.600,4854757376.000,4878707712.000,27.502,27.595,nan,nan,40,0
shasum,0,1.000,0.082,6177450.667,nan,1,0,0,env,20,1.000,2.243,4335445.333,nan,1,0,5862265,curl,120,1.000,69.002,4049408.000,nan,2,0,376983857,65.000,175.683,4895416320.000,4914688000.000,27.665,27.741,nan,nan,30,0
shasum,0,1.000,0.065,6198408.533,nan,1,0,0,env,20,1.000,2.207,3756675.657,nan,2,0,5947592,curl,140,1.000,76.193,11142212.267,nan,2,0,379176726,68.533,206.633,4928616448.000,4948358656.000,27.801,27.879,nan,nan,25,0
shasum,0,1.000,0.075,6041600.000,nan,1,0,0,env,20,1.000,2.213,3614242.133,nan,2,0,6195415,curl,140,1.000,81.508,3806720.000,nan,2,0,381006720,65.667,200.950,4934121472.000,4945596416.000,27.824,27.869,nan,nan,30,0
shasum,0,1.000,0.069,6043306.667,nan,1,0,0,env,20,1.000,2.116,10487978.667,nan,1,0,6248484,curl,140,1.000,76.279,3194880.000,nan,2,0,379358496,65.133,186.033,4914042880.000,4935199744.000,27.744,27.827,nan,nan,30,0
shasum,0,1.000,0.075,5999469.714,nan,1,0,0,env,20,1.000,2.406,10634215.619,nan,2,0,6560790,curl,160,1.000,92.294,14062382.324,nan,2,0,385048327,65.067,218.350,4936415232.000,4964365312.000,27.837,27.947,nan,nan,25,0
shasum,0,1.000,0.068,5992448.000,nan,1,0,0,env,20,1.000,2.216,3845427.200,nan,2,0,6772045,curl,160,1.000,89.486,3921032.533,nan,2,0,384390679,63.000,209.000,4937052160.000,4953715200.000,27.840,27.904,nan,nan,30,0
shasum,0,1.000,0.078,6061909.333,nan,1,0,0,env,20,1.000,2.097,4445793.524,nan,1,0,6051365,curl,160,1.000,82.789,5779334.095,nan,1,0,379240287,60.067,191.300,4928413696.000,4948094976.000,27.804,27.881,nan,nan,30,0
shasum,0,1.000,0.075,6167673.905,nan,1,0,0,env,20,1.000,2.398,3219456.000,nan,2,0,7322693,curl,180,1.000,101.376,2899968.000,nan,2,0,389585079,66.200,233.917,4908486656.000,4934620672.000,27.722,27.823,nan,nan,40,0
shasum,0,1.000,0.070,6029653.333,nan,1,0,0,env,20,1.000,2.221,3657079.467,nan,2,0,6838959,curl,180,1.000,99.235,3566762.667,nan,2,0,385017364,62.667,219.983,4926496768.000,4954933760.000,27.795,27.908,nan,nan,30,0
shasum,0,1.000,0.077,6045696.000,nan,1,0,0,env,20,1.000,2.060,10532864.000,nan,1,0,6663955,curl,180,1.000,93.294,3864029.867,nan,2,0,384222789,64.933,213.633,4921022464.000,4952302080.000,27.776,27.899,nan,nan,30,0
shasum,0,1.000,0.066,6110617.600,nan,1,0,0,env,20,1.000,2.058,3497984.000,nan,2,0,7262357,curl,200,1.000,114.180,13438464.000,nan,2,0,388699594,67.200,244.483,4960370688.000,4964283392.000,27.937,27.949,nan,nan,40,0
shasum,0,1.000,0.076,6144341.333,nan,1,0,0,env,20,1.000,2.127,4010325.333,nan,2,0,6941594,curl,200,1.000,106.391,3465216.000,nan,2,0,392611616,66.533,233.567,4889731072.000,4918858752.000,27.654,27.769,nan,nan,30,0
shasum,0,1.000,0.077,6029141.333,nan,1,0,0,env,20,1.000,2.066,4139212.800,nan,1,0,7390026,curl,200,1.000,100.328,7960541.867,nan,1,0,389922545,65.600,224.100,4896706560.000,4923623424.000,27.684,27.789,nan,nan,30,0
shasum,0,1.000,0.086,6109710.629,nan,1,0,0,env,40,1.000,8.173,10718276.267,nan,2,0,7213007,curl,0,1.000,0.132,3780130.133,nan,1,0,0,65.267,91.450,4889038848.000,4872657408.000,27.652,27.584,nan,nan,40,0
shasum,0,1.000,0.097,6189056.000,nan,1,0,0,env,40,1.000,8.680,3420160.000,nan,2,0,7214402,curl,0,1.000,0.127,30627840.000,nan,1,0,0,62.733,88.167,4855296000.000,4839875584.000,27.515,27.453,nan,nan,30,0
shasum,0,1.000,0.105,6112768.000,nan,1,0,0,env,40,1.000,8.147,5034154.667,nan,2,0,7231124,curl,0,1.000,0.106,28426240.000,nan,1,0,0,64.533,88.883,4820170752.000,4821432832.000,27.375,27.380,nan,nan,30,0
shasum,0,1.000,0.098,5970261.333,nan,1,0,0,env,40,1.000,6.505,10614613.333,nan,1,0,6452313,curl,20,1.000,18.693,32459264.000,nan,1,0,392381132,62.733,109.700,4854755328.000,4845904896.000,27.514,27.478,nan,nan,30,0
shasum,0,1.000,0.090,6105600.000,nan,1,0,0,env,40,1.000,7.335,3297280.000,nan,2,0,6898059,curl,20,1.000,19.456,3880960.000,nan,2,0,380887107,62.467,116.883,4838447104.000,4844138496.000,27.453,27.473,nan,nan,40,0
shasum,0,1.000,0.084,6170965.333,nan,1,0,0,env,40,1.000,6.856,3832968.533,nan,2,0,6559158,curl,20,1.000,18.892,3684488.533,nan,1,0,385570916,64.333,120.317,4883953664.000,4893060096.000,27.635,27.671,nan,nan,30,0
shasum,0,1.000,0.077,6042965.333,nan,1,0,0,env,40,1.000,6.111,3420160.000,nan,2,0,6298937,curl,40,1.000,33.879,3754939.733,nan,2,0,386376581,61.867,137.267,4912314368.000,4916651008.000,27.750,27.767,nan,nan,25,0
shasum,0,1.000,0.079,6014122.667,nan,1,0,0,env,40,1.000,6.285,3953868.800,nan,2,0,6727934,curl,40,1.000,32.744,3534848.000,nan,2,0,380382035,64.200,133.350,4894679040.000,4901884928.000,27.680,27.708,nan,nan,30,0
shasum,0,1.000,0.089,6157653.333,nan,1,0,0,env,40,1.000,5.580,10588672.000,nan,1,0,5967654,curl,40,1.000,29.614,4184985.600,nan,1,0,384384623,62.667,127.050,4899846144.000,4907827200.000,27.703,27.734,nan,nan,30,0
shasum,0,1.000,0.073,6181546.667,nan,1,0,0,env,40,1.000,5.701,10701824.000,nan,2,0,6181054,curl,60,1.000,45.501,3573350.400,nan,2,0,380620044,69.200,153.417,4909858816.000,4920799744.000,27.741,27.785,nan,nan,25,0
shasum,0,1.000,0.071,6197589.333,nan,1,0,0,env,40,1.000,5.261,3558843.733,nan,2,0,6084891,curl,60,1.000,41.665,4067532.800,nan,2,0,379471778,60.400,143.583,4935860224.000,4948483072.000,27.848,27.898,nan,nan,30,0
shasum,0,1.000,0.080,6168697.905,nan,1,0,0,env,40,1.000,5.432,10648746.667,nan,2,0,5926229,curl,60,1.000,43.625,9184543.695,nan,2,0,380829070,62.800,153.567,4834080768.000,4858864128.000,27.447,27.544,nan,nan,25,0
shasum,0,1.000,0.085,6223872.000,nan,1,0,0,env,40,1.000,5.179,3645440.000,nan,2,0,5796934,curl,80,1.000,53.858,3309568.000,nan,2,0,381258886,64.333,162.267,4860518400.000,4869177856.000,27.550,27.584,nan,nan,30,0
shasum,0,1.000,0.082,6273706.667,nan,1,0,0,env,40,1.000,4.840,4618615.467,nan,1,0,5881270,curl,80,1.000,51.064,3831637.333,nan,1,0,379817704,64.067,155.083,4816089088.000,4832197120.000,27.375,27.438,nan,nan,30,0
shasum,0,1.000,0.071,6134818.133,nan,1,0,0,env,40,1.000,4.741,3674965.333,nan,2,0,6230092,curl,80,1.000,46.334,4018517.333,nan,2,0,380346248,70.600,169.484,4824209408.000,4829558272.000,27.405,27.427,nan,nan,25,0
shasum,0,1.000,0.075,6092117.333,nan,1,0,0,env,40,1.000,4.768,3055616.000,nan,2,0,6020950,curl,100,1.000,63.249,3231744.000,nan,2,0,378122438,62.933,172.117,4839856128.000,4854708736.000,27.470,27.529,nan,nan,30,0
shasum,0,1.000,0.091,6133077.333,nan,1,0,0,env,40,1.000,4.520,5892471.467,nan,1,0,6063329,curl,100,1.000,58.757,3882700.800,nan,1,0,376834699,63.000,163.550,4846458880.000,4858620416.000,27.498,27.545,nan,nan,30,0
shasum,0,1.000,0.082,6150485.333,nan,1,0,0,env,40,1.000,5.132,3407872.000,nan,2,0,6327352,curl,100,1.000,64.067,3284992.000,nan,2,0,379685588,64.000,180.217,4797620224.000,4812486656.000,27.302,27.359,nan,nan,40,0
shasum,0,1.000,0.080,6297941.333,nan,1,0,0,env,40,1.000,4.441,3806071.467,nan,2,0,6148481,curl,120,1.000,69.328,3928576.000,nan,2,0,379895668,62.800,182.233,4818266112.000,4848704512.000,27.387,27.507,nan,nan,30,0
shasum,0,1.000,0.074,6356275.200,nan,1,0,0,env,40,1.000,4.288,10593894.400,nan,1,0,5990592,curl,120,1.000,66.945,10567680.000,nan,1,0,378256011,64.467,221.017,4839976960.000,4866417664.000,27.475,27.579,nan,nan,30,0
shasum,0,1.000,0.080,6139904.000,nan,1,0,0,env,40,1.000,4.792,3723434.667,nan,2,0,5965754,curl,120,1.000,74.778,3533226.667,nan,2,0,379658117,70.533,193.117,4830171136.000,4853600768.000,27.433,27.527,nan,nan,25,0
shasum,0,1.000,0.077,6146048.000,nan,1,0,0,env,40,1.000,4.340,10554709.333,nan,2,0,6175197,curl,140,1.000,78.745,3280896.000,nan,2,0,382706545,66.133,197.267,4832225280.000,4857020416.000,27.446,27.544,nan,nan,30,0
shasum,0,1.000,0.077,6269952.000,nan,1,0,0,env,40,1.000,4.182,10536960.000,nan,1,0,6223272,curl,140,1.000,77.884,3677184.000,nan,1,0,382734738,64.467,192.108,4832512000.000,4853123584.000,27.448,27.529,nan,nan,30,0
shasum,0,1.000,0.070,6330075.429,nan,1,0,0,env,40,1.000,4.620,2650112.000,nan,2,0,6589071,curl,140,1.000,84.800,3520256.000,nan,2,0,380394328,62.200,207.567,4797765632.000,4809061888.000,27.308,27.351,nan,nan,40,0
shasum,0,1.000,0.071,6086656.000,nan,1,0,0,env,40,1.000,4.605,3591270.400,nan,2,0,7089502,curl,160,1.000,93.675,2621440.000,nan,2,0,385181655,65.267,219.483,4815296512.000,4834833408.000,27.380,27.458,nan,nan,30,0
shasum,0,1.000,0.074,6125738.667,nan,1,0,0,env,40,1.000,4.280,3440640.000,nan,2,0,7128246,curl,160,1.000,87.788,3350528.000,nan,2,0,384968163,62.067,210.233,4790614016.000,4811552768.000,27.283,27.366,nan,nan,30,0
shasum,0,1.000,0.067,6189056.000,nan,1,0,0,env,40,1.000,4.155,5982651.733,nan,2,0,6416834,curl,160,1.000,87.683,13779763.200,nan,2,0,384195101,62.200,224.283,4818796544.000,4843204096.000,27.398,27.494,nan,nan,25,0
shasum,0,1.000,0.071,6200149.333,nan,1,0,0,env,40,1.000,4.342,10976768.000,nan,2,0,6780620,curl,180,1.000,101.504,4207854.933,nan,2,0,385892273,64.067,229.083,4818692096.000,4846027776.000,27.397,27.505,nan,nan,30,0
shasum,0,1.000,0.070,6107818.667,nan,1,0,0,env,40,1.000,4.270,3362816.000,nan,2,0,7270114,curl,180,1.000,99.747,3878741.333,nan,2,0,388867782,68.000,226.667,4851111936.000,4882932736.000,27.527,27.640,nan,nan,30,0
shasum,0,1.000,0.076,6113280.000,nan,1,0,0,env,40,1.000,4.016,5820255.086,nan,1,0,6841062,curl,180,1.000,92.028,14679790.933,nan,1,0,389363466,64.600,217.300,4879286272.000,4903297024.000,27.607,27.701,nan,nan,30,0
shasum,0,1.000,0.077,6167210.667,nan,1,0,0,env,40,1.000,4.657,10696362.667,nan,2,0,8226947,curl,200,1.000,110.944,72615375.238,nan,2,0,400861361,64.000,256.167,4872599552.000,4889086976.000,27.578,27.641,nan,nan,40,0
shasum,0,1.000,0.076,6149461.333,nan,1,0,0,env,40,1.000,4.494,2932736.000,nan,2,0,8066610,curl,200,1.000,112.399,3411968.000,nan,2,0,403269844,63.133,245.133,4865239040.000,4892372480.000,27.549,27.656,nan,nan,30,0
shasum,0,1.000,0.063,6035456.000,nan,1,0,0,env,40,1.000,4.044,3608439.467,nan,1,0,7867123,curl,200,1.000,104.614,3959227.733,nan,2,0,396997579,63.133,233.400,4869924864.000,4895306752.000,27.568,27.669,nan,nan,30,0
shasum,0,1.000,0.085,6082901.333,nan,1,0,0,env,60,1.000,11.047,10646503.619,nan,2,0,6868724,curl,0,1.000,0.230,4159044.267,nan,1,0,0,66.467,105.117,4884361216.000,4874573824.000,27.633,27.592,nan,nan,25,0
shasum,0,1.000,0.086,6163797.333,nan,1,0,0,env,60,1.000,12.070,3905194.667,nan,2,0,7001017,curl,0,1.000,0.119,30202538.667,nan,1,0,0,65.267,96.183,4837390336.000,4827787264.000,27.439,27.400,nan,nan,30,0
shasum,0,1.000,0.109,6224554.667,nan,1,0,0,env,60,1.000,11.389,4376883.200,nan,2,0,6704263,curl,0,1.000,0.093,29421568.000,nan,1,0,0,67.000,96.100,4817254400.000,4814316032.000,27.361,27.349,nan,nan,30,0
shasum,0,1.000,0.071,6103040.000,nan,1,0,0,env,60,1.000,9.211,10659328.000,nan,1,0,6500971,curl,20,1.000,17.124,32952149.333,nan,1,0,390693057,65.733,113.783,4832272384.000,4826545152.000,27.421,27.397,nan,nan,30,0
shasum,0,1.000,0.100,6185506.133,nan,1,0,0,env,60,1.000,9.730,4102417.067,nan,2,0,6458216,curl,20,1.000,17.083,3787922.286,nan,2,0,383098898,61.067,120.467,4828377088.000,4823857152.000,27.408,27.388,nan,nan,40,0
shasum,0,1.000,0.083,6235477.333,nan,1,0,0,env,60,1.000,9.777,3742993.067,nan,2,0,7460429,curl,20,1.000,18.255,3444736.000,nan,2,0,391945970,61.000,119.597,4821764096.000,4827183616.000,27.382,27.404,nan,nan,30,0
shasum,0,1.000,0.081,6227797.333,nan,1,0,0,env,60,1.000,7.727,11276800.000,nan,1,0,5944657,curl,40,1.000,28.768,3835221.333,nan,1,0,382578221,62.933,128.133,4822640640.000,4829188608.000,27.387,27.412,nan,nan,30,0
shasum,0,1.000,0.084,6144000.000,nan,1,0,0,env,60,1.000,9.274,3604906.667,nan,2,0,5914001,curl,40,1.000,32.727,3593130.667,nan,2,0,381606731,68.133,142.167,4832735232.000,4850123264.000,27.426,27.496,nan,nan,25,0
